#	Frame	FaceNum	FEV		X	Y	ROC	Time
	0	0	741.154461	314	196	0.412916	0.785318968
	1	0	731.199310	314	196	0.418141	0.837264459
	2	0	731.272749	314	196	0.417053	0.864319269
	3	0	730.590497	314	196	0.417423	0.905164254
	4	0	730.210201	314	196	0.417616	0.930094507
	5	0	729.160757	314	196	0.418823	0.956481758
	6	0	726.693725	314	196	0.418964	1.000505731
	7	0	730.354765	314	196	0.418120	1.033204863
	8	0	730.412381	314	196	0.417975	1.061716270
	9	0	729.950014	314	196	0.417844	1.106859419
	10	0	729.914615	314	196	0.418245	1.132618645
	11	0	730.425955	314	196	0.418585	1.159947516
	12	0	730.989705	314	196	0.417987	1.204270553
	13	0	731.149159	314	196	0.417544	1.232048644
	14	0	731.267495	314	196	0.417730	1.273175401
	15	0	727.429762	314	196	0.420164	1.301591640
	16	0	729.104599	314	196	0.419724	1.327822687
	17	0	728.934431	314	196	0.419635	1.376227947
	18	0	728.907316	314	196	0.419737	1.406138443
	19	0	727.753305	314	196	0.420186	1.437872837
	20	0	727.598110	314	196	0.420998	1.470450728
	21	0	728.425120	314	196	0.419917	1.501995909
	22	0	727.458327	314	196	0.420799	1.543389253
	23	0	727.898211	314	196	0.420543	1.575535792
	24	0	728.918491	314	196	0.420451	1.601866049
	25	0	727.770176	314	196	0.421631	1.648328125
	26	0	726.780602	314	196	0.421754	1.673852374
	27	0	727.609954	314	196	0.421551	1.709979773
	28	0	728.202944	314	196	0.420459	1.746737806
	29	0	726.053083	314	196	0.421442	1.779579085
	30	0	737.064099	314	196	0.418293	1.813624233
	31	0	735.961990	314	196	0.419029	1.848729962
	32	0	737.153864	314	196	0.417881	1.876703506
	33	0	737.081290	314	196	0.418087	1.919192752
	34	0	736.125622	314	196	0.418255	1.951315844
	35	0	736.832828	314	196	0.417847	1.986843638
	36	0	736.401713	314	196	0.418474	2.022534957
	37	0	740.388966	314	196	0.415143	2.056977013
	38	0	740.815427	314	196	0.415369	2.085142082
	39	0	737.852972	314	196	0.416828	2.118434668
	40	0	736.442224	314	196	0.418565	2.152893184
	41	0	737.046839	314	196	0.417889	2.191521244
	42	0	737.252957	314	196	0.417594	2.222811592
	43	0	737.950021	314	196	0.417122	2.260171779
	44	0	737.316958	314	196	0.416164	2.288437826
	45	0	736.407164	314	196	0.417436	2.322842593
	46	0	737.278737	314	196	0.416658	2.347692339
	47	0	735.531021	314	196	0.416981	2.392657997
	48	0	734.370525	314	196	0.418830	2.419602837
	49	0	734.779409	314	196	0.418463	2.453580206
	50	0	734.720047	314	196	0.419213	2.491938331
	51	0	735.330127	314	196	0.418745	2.524864500
	52	0	737.074568	314	196	0.418047	2.564843020
	53	0	736.256524	314	196	0.418788	2.592814667
	54	0	735.337113	314	196	0.419735	2.629836897
	55	0	734.206906	314	196	0.419145	2.666786874
	56	0	735.168670	314	196	0.417852	2.693749756
	57	0	736.656213	314	196	0.418189	2.718096646
	58	0	737.912884	314	196	0.417511	2.763464794
	59	0	741.055898	314	196	0.417141	2.801441542
	60	0	739.873073	314	196	0.418255	2.833848624
	61	0	739.198631	314	196	0.416841	2.864883642
	62	0	739.635109	314	196	0.415602	2.893565719
	63	0	739.479401	314	196	0.415041	2.932764348
	64	0	740.478722	314	196	0.414674	2.960897817
	65	0	739.839517	314	196	0.414772	2.994845291
	66	0	738.995751	314	196	0.415939	3.034528643
	67	0	737.395656	314	196	0.416860	3.068868638
	68	0	737.771853	314	196	0.415824	3.098609180
	69	0	736.016002	314	196	0.417897	3.133865663
	70	0	736.676860	314	196	0.417469	3.170778606
	71	0	737.069676	314	196	0.416952	3.207080879
	72	0	735.986088	314	196	0.417368	3.234725253
	73	0	736.518039	314	196	0.418430	3.261798827
	74	0	740.063326	314	196	0.416108	3.307700069
	75	0	737.491632	314	196	0.417149	3.334037475
	76	0	735.809607	314	196	0.418525	3.373774232
	77	0	737.913757	314	196	0.417453	3.414173187
	78	0	737.062438	314	196	0.416932	3.446933676
	79	0	738.809344	314	196	0.416048	3.478402068
	80	0	738.594800	314	196	0.415832	3.508473512
	81	0	737.278454	314	196	0.416962	3.534824020
	82	0	738.370429	314	196	0.416445	3.581909766
	83	0	739.008203	314	196	0.415922	3.615349906
	84	0	739.906782	314	196	0.414761	3.649974555
	85	0	740.573259	314	196	0.415025	3.685025559
	86	0	738.910691	314	196	0.415255	3.713597086
	87	0	736.808610	314	196	0.416776	3.745785803
	88	0	740.384150	314	196	0.417731	3.786445524
	89	0	739.341453	314	196	0.418018	3.814368620
	90	0	739.172015	314	196	0.418391	3.856535615
	91	0	738.690523	314	196	0.417027	3.887109974
	92	0	739.393634	314	196	0.416009	3.917186611
	93	0	736.981915	314	196	0.417311	3.956020236
	94	0	736.295114	314	196	0.418527	3.990486193
	95	0	736.481101	314	196	0.419026	4.016690317
	96	0	735.132739	314	196	0.419892	4.058849899
	97	0	734.541878	314	196	0.420304	4.094095698
	98	0	738.342724	314	196	0.418090	4.123670552
	99	0	737.721072	314	196	0.418998	4.160154576
	100	0	737.521319	314	196	0.418046	4.193888432
	101	0	739.003614	314	196	0.417798	4.231670762
	102	0	738.374618	314	196	0.418384	4.260651835
	103	0	737.799409	314	196	0.418517	4.288254140
	104	0	739.377359	314	196	0.417082	4.327918922
